route_id,agency_id,route_short_name,route_long_name,route_type
7546679,0,159,Trotro 159 : Alajo Junction → Kotobabi Police Station,3
7546702,0,159,Trotro 159 : Kotobabi Police Station → Alajo Junction,3
7546832,0,164,Trotro 164 : Arena → Kaneshie,3
7546841,0,164,Trotro 164 : Kaneshie → Arena,3
7547356,0,166,Trotro 166 : Arena → Russia,3
7547497,0,166,Trotro 166 : Russia → Arena,3
7547555,0,173,Trotro 173 : Accra Bishop → Cantonment,3
7547613,0,173,Trotro 173 : Cantonment → Accra Bishop,3
7547642,0,175,Trotro 175 : Agbogbloshie → Banana Inn/Dansoman,3
7547673,0,175,Trotro 175 : Banana Inn/Dansoman → Agbogbloshie,3
7547692,0,178,Trotro 178 : Bubuashie Ayigbe Town → Accra CMB,3
7547754,0,178,Trotro 178 : Accra CMB → Bubuashie Ayigbe Town,3
7548047,0,185,Trotro 185 : Chorkor → Agbogbloshie,3
7548092,0,185,Trotro 185 : Agbogbloshie → Chorkor,3
7548748,0,224,Trotro 224 : Accra CMB → Alajo,3
7548760,0,224,Trotro 224 : Alajo → Accra CMB,3
7548867,0,227,Trotro 227 : Accra CMB → Manhean,3
7548979,0,227,Trotro 227 : Manhean → Accra CMB,3
7549754,0,228,Trotro 228 : Accra CMB → Odorkor,3
7549779,0,228,Trotro 228 : Odorkor → Accra CMB,3
7551863,0,172,Trotro 172 : Banana Inn → Accra New Tema Station,3
7551890,0,172,Trotro 172 : Accra New Tema Station → Banana Inn,3
7551926,0,203,Trotro 203 : Circle → Orgle Road,3
7552151,0,236,Trotro 236 : Arena → Dansoman,3
7552443,0,237,Trotro 237 : Dansoman → Awoshie,3
7552492,0,237,Trotro 237 : Awoshie → Dansoman,3
7552552,0,247,Trotro 247 : Darkuman → Agbogbloshie,3
7552566,0,247,Trotro 247 : Agbogbloshie → Darkuman,3
7553835,0,249,Trotro 249 : Darkuman → Accra CMB,3
7553865,0,249,Trotro 249 : Accra CMB → Darkuman,3
7553913,0,260,Trotro 260 : Ebenezer → Accra Bishop,3
7554095,0,260,Trotro 260 : Accra Bishop → Ebenezer,3
7554291,0,256,Trotro 256 : Adjiringanor → Accra New Tema Station,3
7554533,0,256,Trotro 256 : Accra New Tema Station → Adjiringanor,3
7554945,0,30,Trotro 30 : Abeka Main Market → Mallam Atta,3
7554979,0,30,Trotro 30 : Mallam Atta → Abeka Main Market,3
7558873,0,51,Trotro 51 : Abeka Lapaz → Manhia Afuaman,3
7558983,0,51,Trotro 51 : Manhia Afuaman → Abeka Lapaz,3
7559191,0,61,Trotro 61 : Abelemkpe → Accra,3
7559224,0,61,Trotro 61 : Accra → Abelemkpe,3
